istep,ground_energy,nDefect,defect_center_xs,defect_center_ys,defect_center_zs,nBasin,nSP_thisbasin,nSP_superbasin,iSP_selected,forward_barrier,ebias,backward_barrier,one_over_freq,mean_squared_disp,diffusion_coeff,time_step,simulation_time
0,-8020.230403,2,0.95,0.95,0.95,1,5,4,0,0.641,0.55,0.091,220.894404,1.481003,0.001117,437.498759,437.498759
1,-8019.681604,1,0.975002,0.975002,0.975002,1,2,1,0,0.091,-0.548,0.639,0.187174,1.479908,1.317767,0.01083,437.509588
