,idav,idsps,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0,0.088,10.000,-0.554,0.418,0.377,0.205,0.138,1.218,1.166,1.265,0.404,1,49.637,0
1,1,2,0.087,10.000,-0.554,0.419,0.376,0.052,0.033,1.216,1.164,1.111,0.370,1,50.363,1
