,idav,idsps,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0,0.641,10.000,0.550,0.868,0.805,0.626,0.221,1.217,1.165,1.073,0.346,1,20.233,1
1,0,1,0.642,10.000,0.550,0.868,0.805,0.592,0.209,1.217,1.164,1.055,0.340,1,19.942,0
2,0,2,0.642,10.000,0.550,0.868,0.805,0.592,0.209,1.217,1.164,1.055,0.340,1,19.942,0
3,1,1,0.642,10.000,0.550,0.868,0.805,0.592,0.209,1.217,1.164,1.055,0.340,1,19.942,0
4,1,2,0.642,10.000,0.550,0.868,0.805,0.592,0.209,1.217,1.164,1.055,0.340,1,19.942,0
