,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect,reason
0,0,1,2,98,76,0.571,0.088,10.0,-0.554,1.539,0.418,0.377,0.205,1.489,15,2.987,0.852,0.789,1.06,2.808,18,3.32,1.218,1.166,1.265,3.128,11,1,DupAV
1,0,2,3,98,86,0.957,0.088,10.0,-0.554,1.539,0.418,0.377,0.205,1.489,15,2.987,0.852,0.789,1.06,2.808,18,3.32,1.218,1.166,1.265,3.128,11,1,DupAV
2,1,0,1,105,97,1.403,0.088,10.0,-0.554,1.673,0.422,0.38,0.724,1.591,12,2.942,0.847,0.785,0.462,2.753,17,3.231,1.218,1.165,1.185,3.047,11,1,Dup
