,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect
0,0,0,1,103,225,14.95,0.642,10.0,0.55,3.026,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.425,16,3.289,1.217,1.164,1.041,3.101,11,1
1,0,1,2,104,257,15.607,0.642,10.0,0.55,3.025,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.424,16,3.289,1.217,1.164,1.041,3.101,11,1
2,1,1,2,103,212,13.218,0.642,10.0,0.55,3.026,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.425,16,3.289,1.217,1.164,1.041,3.101,11,1
3,1,2,3,103,238,16.555,0.642,10.0,0.55,3.026,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.425,16,3.289,1.217,1.164,1.041,3.101,11,1
